Calendar Day,Group,Company Code,Gross Order $
01/07/2018,Commercial & Industrial,C300,5666418.84
01/07/2018,Commercial & Industrial,C715,165911.91
01/07/2018,Commercial & Industrial,C740,995268.03
01/07/2018,Commercial & Industrial,C750,435189.48
01/07/2018,Construction & Energy,C351,2139627.10
01/07/2018,Construction & Energy,C360,3500198.98
01/07/2018,Construction & Energy,C362,379266.28
01/07/2018,Construction & Energy,C366,807728.50
01/07/2018,Construction & Energy,C400,1058619.55
01/07/2018,Construction & Energy,C450,329790.07
01/07/2018,Commercial & Industrial,C710,34689.13
01/07/2018,Construction & Energy,C460,255830.59
01/07/2018,Construction & Energy,C720,551685.16
01/07/2018,Construction & Energy,C794,214030.69
01/07/2018,Hubbell Lighting,C510,10811200.75
01/07/2018,Hubbell Lighting,C520,4349833.39
01/07/2018,Hubbell Lighting,C550,635668.50
01/07/2018,Power Systems,C610,11898203.06
01/07/2018,Power Systems,C615,947.14
01/07/2018,Power Systems,C625,73756.06
01/07/2018,Power Systems,C640,2180014.05
01/07/2018,Power Systems,C660,59767.65
01/07/2018,Commercial & Industrial,C400,4472612.34
01/07/2018,Power Systems,C650,505497.12
01/14/2018,Commercial & Industrial,C715,137270.65
01/14/2018,Commercial & Industrial,C710,156058.37
01/14/2018,Construction & Energy,C366,1540289.29
01/14/2018,Construction & Energy,C400,1456893.45
01/14/2018,Construction & Energy,C450,1780153.70
01/14/2018,Power Systems,C650,657616.75
01/14/2018,Power Systems,C625,67885.02
01/14/2018,Power Systems,C660,42872.22
01/14/2018,Commercial & Industrial,C300,10044580.09
01/14/2018,Construction & Energy,C720,1742718.54
01/14/2018,Construction & Energy,C794,317780.13
01/14/2018,Power Systems,C615,234183.41
01/14/2018,Hubbell Lighting,C510,11570604.58
01/14/2018,Commercial & Industrial,C400,6014911.67
01/14/2018,Hubbell Lighting,C520,3867817.36
01/14/2018,Power Systems,C610,13519903.94
01/14/2018,Hubbell Lighting,C550,610033.37
01/14/2018,Construction & Energy,C792,-66799.64
01/14/2018,Power Systems,C640,2672243.47
01/14/2018,Construction & Energy,C460,291189.64
01/14/2018,Commercial & Industrial,C750,506462.77
01/14/2018,Construction & Energy,C362,277894.41
01/14/2018,Construction & Energy,C360,5022029.34
01/14/2018,Construction & Energy,C351,2189671.79
01/14/2018,Commercial & Industrial,C740,1079677.46
01/21/2018,Power Systems,C625,26430.79
01/21/2018,Commercial & Industrial,C300,9097361.41
01/21/2018,Power Systems,C660,234937.33
01/21/2018,Construction & Energy,C351,2570105.95
01/21/2018,Construction & Energy,C720,564923.03
