Work Day,Group,Division,Actual $
01/02/2018,Commercial & Industrial,ACME,168993
01/02/2018,Commercial & Industrial,Gleason Reel,66702
01/02/2018,Commercial & Industrial,Hipotronics,13452
01/02/2018,Commercial & Industrial,Industrial Controls,172907
01/02/2018,Commercial & Industrial,Raco/TayMac,582832
01/02/2018,Commercial & Industrial,WBP,615542
01/02/2018,Commercial & Industrial,Wiegmann,217612
01/02/2018,Construction & Energy,Austdac,35400
01/02/2018,Construction & Energy,Burndy - US,583745
01/02/2018,Construction & Energy,CMC,189520
01/02/2018,Construction & Energy,Continental Industries,561000
01/02/2018,Construction & Energy,GAI-Tronics - UK,99503
01/02/2018,Construction & Energy,GAI-Tronics - US,108740
01/02/2018,Construction & Energy,Hawke - UK,48807
01/02/2018,Construction & Energy,Hubbell Canada,162393
01/02/2018,Construction & Energy,Hubbell Products Mexico,114917
01/02/2018,Construction & Energy,Killark,285878
01/02/2018,Construction & Energy,Lyall,706000
01/02/2018,Hubbell Lighting,C & I,3553332
01/02/2018,Hubbell Lighting,Residential,1398647
01/02/2018,Integrated Solutions,Integrated Solutions,28776
01/02/2018,Power Systems,Aiken - Arresters,132017
01/02/2018,Power Systems,Aiken - Cable Acc,276847
01/02/2018,Power Systems,Aiken - Insulator,69632
01/02/2018,Power Systems,Civil & Construction,550912
01/02/2018,Power Systems,Connectors,838368
01/02/2018,Power Systems,EMC,145133
01/02/2018,Power Systems,Enclosures,426820
01/02/2018,Power Systems,HPS Brazil,573000
01/02/2018,Power Systems,HPS China,40405
01/02/2018,Power Systems,Switching Fusing,325312
01/02/2018,Power Systems,Tools and Equipment,439226
01/02/2018,Power Systems,Total Bushings,102685
01/02/2018,Power Systems,Utility Automation,204394
01/03/2018,Commercial & Industrial,ACME,103457
01/03/2018,Commercial & Industrial,Gleason Reel,109219
01/03/2018,Commercial & Industrial,Haefely,53160
01/03/2018,Commercial & Industrial,Hipotronics,1983
01/03/2018,Commercial & Industrial,Industrial Controls,224759
01/03/2018,Commercial & Industrial,Raco/TayMac,603009
01/03/2018,Commercial & Industrial,WBP,1204394
01/03/2018,Commercial & Industrial,Wiegmann,196481
01/03/2018,Construction & Energy,Austdac,36984
01/03/2018,Construction & Energy,Burndy - US,539856
01/03/2018,Construction & Energy,CMC,258681
01/03/2018,Construction & Energy,Continental Industries,174110
01/03/2018,Construction & Energy,GAI-Tronics - UK,79736
01/03/2018,Construction & Energy,GAI-Tronics - US,214842
01/03/2018,Construction & Energy,Hawke - UK,149374
01/03/2018,Construction & Energy,Hubbell Canada,548442
01/03/2018,Construction & Energy,Hubbell Products Mexico,110976
01/03/2018,Construction & Energy,Hubbell Scotland,143644
01/03/2018,Construction & Energy,Killark,191197
01/03/2018,Construction & Energy,Lyall,1609000
01/03/2018,Hubbell Lighting,C & I,2288908
01/03/2018,Hubbell Lighting,Residential,796070
01/03/2018,Integrated Solutions,Integrated Solutions,1131
01/03/2018,Power Systems,Aiken - Arresters,468078
