Calendar Day,Group,Profit Center Group,Gross Order $
01/07/2018,Commercial & Industrial,ACME,710375.74
01/07/2018,Commercial & Industrial,Bryant Electric,162209.07
01/07/2018,Commercial & Industrial,Gleason Reel,435189.48
01/07/2018,Commercial & Industrial,Hipotronics,34689.13
01/07/2018,Commercial & Industrial,ICD,995268.03
01/07/2018,Commercial & Industrial,Premise Wiring,529196.06
01/07/2018,Commercial & Industrial,RACO,2878849.27
01/07/2018,Commercial & Industrial,WDK,4975013.71
01/07/2018,Commercial & Industrial,Wiegmann,883387.33
01/07/2018,Construction & Energy,Burndy - MX,379266.28
01/07/2018,Construction & Energy,Burndy - US,3523088.98
01/07/2018,Construction & Energy,CMC,807728.5
01/07/2018,Construction & Energy,Continental Industries,-22890
01/07/2018,Construction & Energy,GAI-Tronics - US,551685.16
01/07/2018,Construction & Energy,GAI-Tronics UK,214030.69
01/07/2018,Construction & Energy,Hawke - UK,255830.59
01/07/2018,Construction & Energy,Hawke - US,131148.5
01/07/2018,Construction & Energy,Hubbell Canada,2139627.1
01/07/2018,Construction & Energy,Hubbell Scotland,329790.07
01/07/2018,Construction & Energy,Killark,923627.01
01/07/2018,Construction & Energy,RigPower Connectors,3844.04
01/07/2018,Hubbell Lighting,AAL,291348.35
01/07/2018,Hubbell Lighting,Alera,171251.75
01/07/2018,Hubbell Lighting,Beacon,1724562.99
01/07/2018,Hubbell Lighting,Columbia,3133873.47
01/07/2018,Hubbell Lighting,Dual-Lite,1084000.41
01/07/2018,Hubbell Lighting,Hubbell Control Solutions,624976.22
01/07/2018,Hubbell Lighting,Industrial Lighting,200168.44
01/07/2018,Hubbell Lighting,Kim,429237.13
01/07/2018,Hubbell Lighting,Kurt Versen,32031.1
01/07/2018,Hubbell Lighting,Litecontrol,642486.5
01/07/2018,Hubbell Lighting,Norlux,359454.65
01/07/2018,Hubbell Lighting,Outdoor,1194877.45
01/07/2018,Hubbell Lighting,P2,0
01/07/2018,Hubbell Lighting,Prescolite,930528.52
01/07/2018,Hubbell Lighting,Progress Lighting,4352406.54
01/07/2018,Hubbell Lighting,Security Lighting,271189.47
01/07/2018,Hubbell Lighting,Thomas,354309.65
01/07/2018,Power Systems,Above Ground,135831.51
01/07/2018,Power Systems,Civil,412831.68
01/07/2018,Power Systems,Cutouts  Polymer,532027.98
01/07/2018,Power Systems,Cutouts  Porcelain,332245.6
01/07/2018,Power Systems,Dist Automation,308732
01/07/2018,Power Systems,Distribution Arresters,872562.18
01/07/2018,Power Systems,Distribution Connectors,1175461.83
01/07/2018,Power Systems,Distribution Insulators,299595.35
01/07/2018,Power Systems,Drain,12553.16
01/07/2018,Power Systems,Electro Composites,59767.65
01/07/2018,Power Systems,Fiber & Cable Accessories,149525.54
01/07/2018,Power Systems,Fiber Splice Products,27771.58
01/07/2018,Power Systems,Fiberglass Construction,107549.33
01/07/2018,Power Systems,Fuse Links,68540.95
01/07/2018,Power Systems,Gloves,31949.22
01/07/2018,Power Systems,HotBox,84992.84
01/07/2018,Power Systems,HPS Shanghai,74703.2
01/07/2018,Power Systems,OVHD Switches,609799.11
01/07/2018,Power Systems,PCORE,427675
01/07/2018,Power Systems,PenCell,202667.48
01/07/2018,Power Systems,Pole Line Hardware,916304.19
01/07/2018,Power Systems,Power Load,77821.31
01/07/2018,Power Systems,Resale,258512.48
01/07/2018,Power Systems,Reuel,77822.12
01/07/2018,Power Systems,Sub Automation,295799.69
01/07/2018,Power Systems,Substation Connectors,310163.65
01/07/2018,Power Systems,Substation HC Arresters,147785.49
01/07/2018,Power Systems,Substation SC Arresters,153517.55
01/07/2018,Power Systems,Substation Switches,53308.64
01/07/2018,Power Systems,Traditional Tools,724082.04
01/07/2018,Power Systems,Transmission Arresters,183784.67
01/07/2018,Power Systems,Transmission Connectors,1745841.85
01/07/2018,Power Systems,Transmission Insulators,548178.94
01/07/2018,Power Systems,Turner Electric,123970.36
01/07/2018,Power Systems,Under Ground,1743969.06
01/07/2018,Power Systems,URD Accessories,450489.09
01/07/2018,Power Systems,URD Arresters,268977.54
01/07/2018,Power Systems,Utility Anchors,711073.22
01/14/2018,Commercial & Industrial,ACME,659605.39
01/14/2018,Commercial & Industrial,Bryant Electric,462705.69
01/14/2018,Commercial & Industrial,Gleason Reel,506462.77
01/14/2018,Commercial & Industrial,Hipotronics,156058.37
01/14/2018,Commercial & Industrial,ICD,1079677.46
01/14/2018,Commercial & Industrial,Premise Wiring,1260282.19
01/14/2018,Commercial & Industrial,RACO,4417134.73
01/14/2018,Commercial & Industrial,WDK,8321592.21
01/14/2018,Commercial & Industrial,Wiegmann,938171.55
01/14/2018,Construction & Energy,Burndy - MX,277894.41
01/14/2018,Construction & Energy,Burndy - US,5022029.34
01/14/2018,Construction & Energy,CMC,1540289.29
01/14/2018,Construction & Energy,Continental Industries,0
01/14/2018,Construction & Energy,GAI-Tronics - US,1742718.54
01/14/2018,Construction & Energy,Gai-Tronics Italy,-66799.64
01/14/2018,Construction & Energy,GAI-Tronics UK,317780.13
01/14/2018,Construction & Energy,Hawke - UK,291189.64
01/14/2018,Construction & Energy,Hawke - US,137895.56
01/14/2018,Construction & Energy,Hubbell Canada,2189671.79
01/14/2018,Construction & Energy,Hubbell Scotland,1780153.7
01/14/2018,Construction & Energy,Killark,1314663.18
01/14/2018,Construction & Energy,RigPower Connectors,4334.71
01/14/2018,Hubbell Lighting,AAL,260159.81
01/14/2018,Hubbell Lighting,Alera,117042
01/14/2018,Hubbell Lighting,Beacon,1186816.28
01/14/2018,Hubbell Lighting,Columbia,4116461.74
01/14/2018,Hubbell Lighting,Dual-Lite,1329249.68
01/14/2018,Hubbell Lighting,Hubbell Control Solutions,533807.42
01/14/2018,Hubbell Lighting,Industrial Lighting,273064.28
01/14/2018,Hubbell Lighting,Kim,645379.89
01/14/2018,Hubbell Lighting,Kurt Versen,78277.97
01/14/2018,Hubbell Lighting,Litecontrol,614903.37
01/14/2018,Hubbell Lighting,Norlux,245984.22
01/14/2018,Hubbell Lighting,Outdoor,1230838.09
01/14/2018,Hubbell Lighting,P2,0
01/14/2018,Hubbell Lighting,Prescolite,1069633
01/14/2018,Hubbell Lighting,Progress Lighting,3869975.36
01/14/2018,Hubbell Lighting,Security Lighting,226854.88
01/14/2018,Hubbell Lighting,Thomas,250007.32
01/14/2018,Power Systems,Above Ground,164649.53
01/14/2018,Power Systems,Blocks,892.8
01/14/2018,Power Systems,Civil,604107.85
01/14/2018,Power Systems,Cutouts  Polymer,1220509.3
01/14/2018,Power Systems,Cutouts  Porcelain,503627.28
01/14/2018,Power Systems,Dist Automation,661953.91
01/14/2018,Power Systems,Distribution Arresters,1003461.35
01/14/2018,Power Systems,Distribution Connectors,1634904.24
01/14/2018,Power Systems,Distribution Insulators,241357.96
01/14/2018,Power Systems,Drain,14310.76
01/14/2018,Power Systems,Electro Composites,42872.22
01/14/2018,Power Systems,Fiber & Cable Accessories,205009.65
01/14/2018,Power Systems,Fiber Splice Products,10413.93
01/14/2018,Power Systems,Fiberglass Construction,171585.09
01/14/2018,Power Systems,Fuse Links,121830.46
01/14/2018,Power Systems,Gloves,101560.61
01/14/2018,Power Systems,HotBox,192168.39
01/14/2018,Power Systems,HPS Shanghai,302068.43
01/14/2018,Power Systems,OVHD Switches,247944.82
01/14/2018,Power Systems,PCORE,549383
01/14/2018,Power Systems,PenCell,399507.29
01/14/2018,Power Systems,Pole Line Hardware,1377083.72
01/14/2018,Power Systems,Power Load,62004.12
01/14/2018,Power Systems,Resale,293346.84
01/14/2018,Power Systems,Reuel,108233.75
01/14/2018,Power Systems,Sub Automation,290596.39
01/14/2018,Power Systems,Substation Connectors,305154.39
01/14/2018,Power Systems,Substation HC Arresters,193675.26
01/14/2018,Power Systems,Substation SC Arresters,255412.82
01/14/2018,Power Systems,Substation Switches,345094.94
01/14/2018,Power Systems,Traditional Tools,659185.71
01/14/2018,Power Systems,Transmission Arresters,9900.88
01/14/2018,Power Systems,Transmission Connectors,798164.65
01/14/2018,Power Systems,Transmission Insulators,704791.37
01/14/2018,Power Systems,Turner Electric,124911.2
01/14/2018,Power Systems,Under Ground,1901607.5
01/14/2018,Power Systems,URD Accessories,272434.16
01/14/2018,Power Systems,URD Arresters,59911.17
01/14/2018,Power Systems,Utility Anchors,1039077.07
01/21/2018,Commercial & Industrial,ACME,1040824.71
01/21/2018,Commercial & Industrial,Bryant Electric,348422.86
01/21/2018,Commercial & Industrial,Gleason Reel,598602.42
01/21/2018,Commercial & Industrial,Hipotronics,312403.79
01/21/2018,Commercial & Industrial,ICD,1410036.9
01/21/2018,Commercial & Industrial,Premise Wiring,881988
01/21/2018,Commercial & Industrial,RACO,3644859.25
01/21/2018,Commercial & Industrial,WDK,7866950.55
01/21/2018,Commercial & Industrial,Wiegmann,925832.96
01/21/2018,Construction & Energy,Burndy - MX,546789.38
01/21/2018,Construction & Energy,Burndy - US,5035746.62
01/21/2018,Construction & Energy,CMC,1055067.48
01/21/2018,Construction & Energy,Continental Industries,0
01/21/2018,Construction & Energy,GAI-Tronics - US,564923.03
01/21/2018,Construction & Energy,Gai-Tronics Italy,-155360.2
01/21/2018,Construction & Energy,GAI-Tronics UK,430926.89
01/21/2018,Construction & Energy,Hawke - UK,273741.8
01/21/2018,Construction & Energy,Hawke - US,268784.16
01/21/2018,Construction & Energy,Hubbell Canada,2570105.95
01/21/2018,Construction & Energy,Hubbell Scotland,742480.12
01/21/2018,Construction & Energy,Killark,1315844.39
01/21/2018,Construction & Energy,RigPower Connectors,211228.24
01/21/2018,Hubbell Lighting,AAL,412317.78
01/21/2018,Hubbell Lighting,Alera,163793.96
01/21/2018,Hubbell Lighting,Beacon,779884.77
01/21/2018,Hubbell Lighting,Columbia,3228482.47
01/21/2018,Hubbell Lighting,Dual-Lite,1424238.37
01/21/2018,Hubbell Lighting,Hubbell Control Solutions,746977.53
01/21/2018,Hubbell Lighting,Industrial Lighting,259855.52
01/21/2018,Hubbell Lighting,Kim,695671.28
01/21/2018,Hubbell Lighting,Kurt Versen,30364.34
01/21/2018,Hubbell Lighting,Litecontrol,758971
01/21/2018,Hubbell Lighting,Norlux,200692.77
01/21/2018,Hubbell Lighting,Outdoor,1009498.86
01/21/2018,Hubbell Lighting,P2,0
01/21/2018,Hubbell Lighting,Prescolite,1316891.85
01/21/2018,Hubbell Lighting,Progress Lighting,4074053.63
01/21/2018,Hubbell Lighting,Security Lighting,277590.68
01/21/2018,Hubbell Lighting,Thomas,204549.59
01/21/2018,Power Systems,Above Ground,152627.83
01/21/2018,Power Systems,Blocks,2232
01/21/2018,Power Systems,Civil,615689.89
01/21/2018,Power Systems,Cutouts  Polymer,687567.71
01/21/2018,Power Systems,Cutouts  Porcelain,350698.31
01/21/2018,Power Systems,Dist Automation,634436.75
01/21/2018,Power Systems,Distribution Arresters,772881.52
01/21/2018,Power Systems,Distribution Connectors,2215223.8
01/21/2018,Power Systems,Distribution Insulators,233222.22
01/21/2018,Power Systems,Drain,19698.39
01/21/2018,Power Systems,Electro Composites,234937.33
01/21/2018,Power Systems,Fiber & Cable Accessories,201785.66
01/21/2018,Power Systems,Fiber Splice Products,9415.12
01/21/2018,Power Systems,Fiberglass Construction,189203.65
01/21/2018,Power Systems,Fuse Links,113427.6
01/21/2018,Power Systems,Gloves,53984.52
01/21/2018,Power Systems,HotBox,128551.55
01/21/2018,Power Systems,HPS Shanghai,26430.79
01/21/2018,Power Systems,OVHD Switches,223308.64
01/21/2018,Power Systems,PCORE,963108
01/21/2018,Power Systems,PenCell,317983.77
01/21/2018,Power Systems,Pole Line Hardware,1497726.95
01/21/2018,Power Systems,Power Load,89799.11
01/21/2018,Power Systems,Resale,394908.03
01/21/2018,Power Systems,Reuel,113943.03
01/21/2018,Power Systems,Sub Automation,245319.65
01/21/2018,Power Systems,Substation Connectors,323997.84
01/21/2018,Power Systems,Substation HC Arresters,278569.8
01/21/2018,Power Systems,Substation SC Arresters,180684.34
01/21/2018,Power Systems,Substation Switches,574901.8
01/21/2018,Power Systems,Traditional Tools,1125188.33
01/21/2018,Power Systems,Transmission Arresters,80739.22
01/21/2018,Power Systems,Transmission Connectors,1058285
01/21/2018,Power Systems,Transmission Insulators,759487.29
01/21/2018,Power Systems,Turner Electric,374685.32
01/21/2018,Power Systems,Under Ground,1840611.97
01/21/2018,Power Systems,URD Accessories,188578.52
01/21/2018,Power Systems,URD Arresters,142489.77
01/21/2018,Power Systems,Utility Anchors,1368472.63
01/28/2018,Commercial & Industrial,ACME,759087.32
01/28/2018,Commercial & Industrial,Bryant Electric,440700.2
01/28/2018,Commercial & Industrial,Gleason Reel,704876.98
01/28/2018,Commercial & Industrial,Hipotronics,85454.18
01/28/2018,Commercial & Industrial,ICD,1363518.98
01/28/2018,Commercial & Industrial,Premise Wiring,1040727.32
01/28/2018,Commercial & Industrial,RACO,4056958.23
01/28/2018,Commercial & Industrial,WDK,8049330.32
01/28/2018,Commercial & Industrial,Wiegmann,1012680.86
01/28/2018,Construction & Energy,Burndy - MX,610519.18
01/28/2018,Construction & Energy,Burndy - US,5327330.09
01/28/2018,Construction & Energy,CMC,891275.04
01/28/2018,Construction & Energy,Continental Industries,0
01/28/2018,Construction & Energy,GAI-Tronics - US,1350574.37
01/28/2018,Construction & Energy,Gai-Tronics Italy,-183033.6
01/28/2018,Construction & Energy,GAI-Tronics UK,366834.62
01/28/2018,Construction & Energy,Hawke - UK,612325.11
01/28/2018,Construction & Energy,Hawke - US,163793.09
01/28/2018,Construction & Energy,Hubbell Canada,3060319.39
01/28/2018,Construction & Energy,Hubbell Scotland,512244.63
01/28/2018,Construction & Energy,Killark,1411107.14
01/28/2018,Construction & Energy,RigPower Connectors,93841.24
01/28/2018,Hubbell Lighting,AAL,428541.73
01/28/2018,Hubbell Lighting,Alera,140179.4
01/28/2018,Hubbell Lighting,Beacon,1229411.23
01/28/2018,Hubbell Lighting,Columbia,3958675.48
