Calendar Day,Group,Division,Business Unit,Gross Order $
01/07/2018,Commercial & Industrial,ACME,ACME,710375.74
01/07/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,435189.48
01/07/2018,Commercial & Industrial,Hipotronics,Hipotronics,34689.13
01/07/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,995268.03
01/07/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,2878849.27
01/07/2018,Commercial & Industrial,WBP,Bryant Electric,162209.07
01/07/2018,Commercial & Industrial,WBP,Premise Wiring,529196.06
01/07/2018,Commercial & Industrial,WBP,WDK,4975013.71
01/07/2018,Commercial & Industrial,Wiegmann,Wiegmann,883387.33
01/07/2018,Construction & Energy,Burndy - US,Burndy - US,3523088.98
01/07/2018,Construction & Energy,CMC,CMC,807728.5
01/07/2018,Construction & Energy,Continental Industries,Continental Industries,-22890
01/07/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,214030.69
01/07/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,551685.16
01/07/2018,Construction & Energy,Hawke - UK,Hawke - UK,255830.59
01/07/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2139627.1
01/07/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,379266.28
01/07/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,329790.07
01/07/2018,Construction & Energy,Killark,Killark,1058619.55
01/07/2018,Hubbell Lighting,C & I,AAL,291348.35
01/07/2018,Hubbell Lighting,C & I,Alera,171251.75
01/07/2018,Hubbell Lighting,C & I,Beacon,1724562.99
01/07/2018,Hubbell Lighting,C & I,Columbia,3133873.47
01/07/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,624976.22
01/07/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,713764.3
01/07/2018,Hubbell Lighting,C & I,Industrial Lighting,200168.44
01/07/2018,Hubbell Lighting,C & I,Kim,429237.13
01/07/2018,Hubbell Lighting,C & I,Kurt Versen,32031.1
01/07/2018,Hubbell Lighting,C & I,Life Safety,1084000.41
01/07/2018,Hubbell Lighting,C & I,Litecontrol,642486.5
01/07/2018,Hubbell Lighting,C & I,Outdoor,1194877.45
01/07/2018,Hubbell Lighting,C & I,Prescolite,930528.52
01/07/2018,Hubbell Lighting,C & I,Security Lighting,271189.47
01/07/2018,Hubbell Lighting,Residential,Progress Lighting,4352406.54
01/07/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1357649.89
01/07/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,719466.63
01/07/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,847774.29
01/07/2018,Power Systems,Civil & Construction,Civil & Construction,2147758.42
01/07/2018,Power Systems,Connectors,Connectors,3408764.45
01/07/2018,Power Systems,Enclosures,Enclosures,2180014.05
01/07/2018,Power Systems,HPS China,HPS China,74703.2
01/07/2018,Power Systems,Switching Fusing,Switching & Fusing,1719892.64
01/07/2018,Power Systems,Tools and Equipment,Tools and Equipment,1092365.05
01/07/2018,Power Systems,Total Bushings,Bushings,565264.77
01/07/2018,Power Systems,Utility Automation,Utility Automation,604531.69
01/14/2018,Commercial & Industrial,ACME,ACME,659605.39
01/14/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,506462.77
01/14/2018,Commercial & Industrial,Hipotronics,Hipotronics,156058.37
01/14/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1079677.46
01/14/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4417134.73
01/14/2018,Commercial & Industrial,WBP,Bryant Electric,462705.69
01/14/2018,Commercial & Industrial,WBP,Premise Wiring,1260282.19
01/14/2018,Commercial & Industrial,WBP,WDK,8321592.21
01/14/2018,Commercial & Industrial,Wiegmann,Wiegmann,938171.55
01/14/2018,Construction & Energy,Burndy - US,Burndy - US,5022029.34
01/14/2018,Construction & Energy,CMC,CMC,1540289.29
01/14/2018,Construction & Energy,Continental Industries,Continental Industries,0
01/14/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,317780.13
01/14/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1742718.54
01/14/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,-66799.64
01/14/2018,Construction & Energy,Hawke - UK,Hawke - UK,291189.64
01/14/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2189671.79
01/14/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,277894.41
01/14/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,1780153.7
01/14/2018,Construction & Energy,Killark,Killark,1456893.45
01/14/2018,Hubbell Lighting,C & I,AAL,260159.81
01/14/2018,Hubbell Lighting,C & I,Alera,117042
01/14/2018,Hubbell Lighting,C & I,Beacon,1186816.28
01/14/2018,Hubbell Lighting,C & I,Columbia,4116461.74
01/14/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,533807.42
01/14/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,495991.54
01/14/2018,Hubbell Lighting,C & I,Industrial Lighting,273064.28
01/14/2018,Hubbell Lighting,C & I,Kim,645379.89
01/14/2018,Hubbell Lighting,C & I,Kurt Versen,78277.97
01/14/2018,Hubbell Lighting,C & I,Life Safety,1329249.68
01/14/2018,Hubbell Lighting,C & I,Litecontrol,614903.37
01/14/2018,Hubbell Lighting,C & I,Outdoor,1230838.09
01/14/2018,Hubbell Lighting,C & I,Prescolite,1069633
01/14/2018,Hubbell Lighting,C & I,Security Lighting,226854.88
01/14/2018,Hubbell Lighting,Residential,Progress Lighting,3869975.36
01/14/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1463343.11
01/14/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,332345.33
01/14/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,946149.33
01/14/2018,Power Systems,Civil & Construction,Civil & Construction,3191853.73
01/14/2018,Power Systems,Connectors,Connectors,2953646.86
01/14/2018,Power Systems,Enclosures,Enclosures,2672243.47
01/14/2018,Power Systems,HPS China,HPS China,302068.43
01/14/2018,Power Systems,Switching Fusing,Switching & Fusing,2563918
01/14/2018,Power Systems,Tools and Equipment,Tools and Equipment,1116097.28
01/14/2018,Power Systems,Total Bushings,Bushings,700488.97
01/14/2018,Power Systems,Utility Automation,Utility Automation,952550.3
01/21/2018,Commercial & Industrial,ACME,ACME,1040824.71
01/21/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,598602.42
01/21/2018,Commercial & Industrial,Hipotronics,Hipotronics,312403.79
01/21/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1410036.9
01/21/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,3644859.25
01/21/2018,Commercial & Industrial,WBP,Bryant Electric,348422.86
01/21/2018,Commercial & Industrial,WBP,Premise Wiring,881988
01/21/2018,Commercial & Industrial,WBP,WDK,7866950.55
01/21/2018,Commercial & Industrial,Wiegmann,Wiegmann,925832.96
01/21/2018,Construction & Energy,Burndy - US,Burndy - US,5035746.62
01/21/2018,Construction & Energy,CMC,CMC,1055067.48
01/21/2018,Construction & Energy,Continental Industries,Continental Industries,0
01/21/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,430926.89
01/21/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,564923.03
01/21/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,-155360.2
01/21/2018,Construction & Energy,Hawke - UK,Hawke - UK,273741.8
01/21/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2570105.95
01/21/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,546789.38
01/21/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,742480.12
01/21/2018,Construction & Energy,Killark,Killark,1795856.79
01/21/2018,Hubbell Lighting,C & I,AAL,412317.78
01/21/2018,Hubbell Lighting,C & I,Alera,163793.96
01/21/2018,Hubbell Lighting,C & I,Beacon,779884.77
01/21/2018,Hubbell Lighting,C & I,Columbia,3228482.47
01/21/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,746977.53
01/21/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,405242.36
01/21/2018,Hubbell Lighting,C & I,Industrial Lighting,259855.52
01/21/2018,Hubbell Lighting,C & I,Kim,695671.28
01/21/2018,Hubbell Lighting,C & I,Kurt Versen,30364.34
01/21/2018,Hubbell Lighting,C & I,Life Safety,1424238.37
01/21/2018,Hubbell Lighting,C & I,Litecontrol,758971
01/21/2018,Hubbell Lighting,C & I,Outdoor,1009498.86
01/21/2018,Hubbell Lighting,C & I,Prescolite,1316891.85
01/21/2018,Hubbell Lighting,C & I,Security Lighting,277590.68
01/21/2018,Hubbell Lighting,Residential,Progress Lighting,4074053.63
01/21/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1315106.88
